year,month,day,season_name,hour_24h,beehive_temperature_c,beehive_humidity_percent,beehive_weight_kg,beehive_sound_db,beehive_activity_0_10,co2_ppm,voc_level,pollen_level,latitude,longitude,beehive_sun_exposure
2024,November,02,spring,16:00,20.9,67,48.97,65,7,500,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,02,spring,17:00,19.1,71,48.98,58,6,475,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,02,spring,18:00,17.4,75,48.99,52,4,445,Medium,Low,-35.0497,-58.4278,Sun
2024,November,02,spring,19:00,15.9,78,49.00,48,3,425,Low,Low,-35.0497,-58.4278,Sun
2024,November,02,spring,20:00,15.1,80,49.01,45,2,415,Low,Low,-35.0497,-58.4278,Sun
2024,November,02,spring,21:00,14.7,81,49.01,43,1,410,Low,Low,-35.0497,-58.4278,Sun
2024,November,02,spring,22:00,14.5,82,49.02,42,1,405,Low,Low,-35.0497,-58.4278,Sun
2024,November,02,spring,23:00,14.4,83,49.02,41,1,400,Low,Low,-35.0497,-58.4278,Sun
2024,November,03,spring,00:00,14.2,84,49.03,41,1,395,Low,Low,-35.0497,-58.4278,Sun
2024,November,03,spring,01:00,13.8,85,49.03,40,1,390,Low,Low,-35.0497,-58.4278,Sun
2024,November,03,spring,02:00,13.3,86,49.04,40,1,385,Low,Low,-35.0497,-58.4278,Sun
2024,November,03,spring,03:00,12.8,87,49.04,40,1,380,Low,Low,-35.0497,-58.4278,Sun
2024,November,03,spring,04:00,12.3,88,49.05,40,1,375,Low,Low,-35.0497,-58.4278,Sun
2024,November,03,spring,05:00,11.8,89,49.05,41,1,370,Low,Low,-35.0497,-58.4278,Sun
2024,November,03,spring,06:00,12.6,87,49.06,43,2,380,Low,Low,-35.0497,-58.4278,Sun
2024,November,03,spring,07:00,14.0,84,49.07,48,3,395,Low,Medium,-35.0497,-58.4278,Sun
2024,November,03,spring,08:00,16.3,80,49.08,55,5,420,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,03,spring,09:00,18.6,75,49.10,62,7,450,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,03,spring,10:00,20.3,70,49.12,68,8,480,Medium,High,-35.0497,-58.4278,Sun
2024,November,03,spring,11:00,21.9,66,49.14,72,9,505,High,High,-35.0497,-58.4278,Sun
2024,November,03,spring,12:00,22.8,64,49.16,75,9,520,High,High,-35.0497,-58.4278,Sun
2024,November,03,spring,13:00,23.3,62,49.18,74,9,530,High,High,-35.0497,-58.4278,Sun
2024,November,03,spring,14:00,23.0,63,49.20,73,9,525,High,High,-35.0497,-58.4278,Sun
2024,November,03,spring,15:00,22.3,65,49.21,70,8,510,High,Medium,-35.0497,-58.4278,Sun
2024,November,03,spring,16:00,20.8,68,49.22,65,7,485,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,03,spring,17:00,19.0,72,49.23,58,6,460,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,03,spring,18:00,17.3,76,49.24,52,4,430,Medium,Low,-35.0497,-58.4278,Sun
2024,November,03,spring,19:00,15.8,79,49.25,48,3,410,Low,Low,-35.0497,-58.4278,Sun
2024,November,03,spring,20:00,15.0,81,49.26,45,2,400,Low,Low,-35.0497,-58.4278,Sun
2024,November,03,spring,21:00,14.6,82,49.26,43,1,395,Low,Low,-35.0497,-58.4278,Sun
2024,November,03,spring,22:00,14.4,83,49.27,42,1,390,Low,Low,-35.0497,-58.4278,Sun
2024,November,03,spring,23:00,14.3,84,49.27,41,1,385,Low,Low,-35.0497,-58.4278,Sun
2024,November,04,spring,00:00,14.1,85,49.28,41,1,380,Low,Low,-35.0497,-58.4278,Sun
2024,November,04,spring,01:00,13.7,86,49.28,40,1,375,Low,Low,-35.0497,-58.4278,Sun
2024,November,04,spring,02:00,13.2,87,49.29,40,1,370,Low,Low,-35.0497,-58.4278,Sun
2024,November,04,spring,03:00,12.7,88,49.29,40,1,365,Low,Low,-35.0497,-58.4278,Sun
2024,November,04,spring,04:00,12.2,89,49.30,40,1,360,Low,Low,-35.0497,-58.4278,Sun
2024,November,04,spring,05:00,11.7,90,49.30,41,1,355,Low,Low,-35.0497,-58.4278,Sun
2024,November,04,spring,06:00,12.5,88,49.31,43,2,365,Low,Low,-35.0497,-58.4278,Sun
2024,November,04,spring,07:00,13.9,85,49.32,48,3,380,Low,Medium,-35.0497,-58.4278,Sun
2024,November,04,spring,08:00,16.2,81,49.33,55,5,405,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,04,spring,09:00,18.5,76,49.35,62,7,435,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,04,spring,10:00,20.2,71,49.37,68,8,465,Medium,High,-35.0497,-58.4278,Sun
2024,November,04,spring,11:00,21.8,67,49.39,72,9,490,High,High,-35.0497,-58.4278,Sun
2024,November,04,spring,12:00,22.7,65,49.41,75,9,505,High,High,-35.0497,-58.4278,Sun
2024,November,04,spring,13:00,23.2,63,49.43,74,9,515,High,High,-35.0497,-58.4278,Sun
2024,November,04,spring,14:00,22.9,64,49.45,73,9,510,High,High,-35.0497,-58.4278,Sun
2024,November,04,spring,15:00,22.2,66,49.46,70,8,495,High,Medium,-35.0497,-58.4278,Sun
2024,November,04,spring,16:00,20.7,69,49.47,65,7,470,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,04,spring,17:00,18.9,73,49.48,58,6,445,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,04,spring,18:00,17.2,77,49.49,52,4,415,Medium,Low,-35.0497,-58.4278,Sun
2024,November,04,spring,19:00,15.7,80,49.50,48,3,395,Low,Low,-35.0497,-58.4278,Sun
2024,November,04,spring,20:00,14.9,82,49.51,45,2,385,Low,Low,-35.0497,-58.4278,Sun
2024,November,04,spring,21:00,14.5,83,49.51,43,1,380,Low,Low,-35.0497,-58.4278,Sun
2024,November,04,spring,22:00,14.3,84,49.52,42,1,375,Low,Low,-35.0497,-58.4278,Sun
2024,November,04,spring,23:00,14.2,85,49.52,41,1,370,Low,Low,-35.0497,-58.4278,Sun
2024,November,05,spring,00:00,14.0,86,49.53,41,1,365,Low,Low,-35.0497,-58.4278,Sun
2024,November,05,spring,01:00,13.6,87,49.53,40,1,360,Low,Low,-35.0497,-58.4278,Sun
2024,November,05,spring,02:00,13.1,88,49.54,40,1,355,Low,Low,-35.0497,-58.4278,Sun
2024,November,05,spring,03:00,12.6,89,49.54,40,1,350,Low,Low,-35.0497,-58.4278,Sun
2024,November,05,spring,04:00,12.1,90,49.55,40,1,345,Low,Low,-35.0497,-58.4278,Sun
2024,November,05,spring,05:00,11.6,91,49.55,41,1,340,Low,Low,-35.0497,-58.4278,Sun
2024,November,05,spring,06:00,12.4,89,49.56,43,2,350,Low,Low,-35.0497,-58.4278,Sun
2024,November,05,spring,07:00,13.8,86,49.57,48,3,365,Low,Medium,-35.0497,-58.4278,Sun
2024,November,05,spring,08:00,16.1,82,49.58,55,5,390,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,05,spring,09:00,18.4,77,49.60,62,7,420,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,05,spring,10:00,20.1,72,49.62,68,8,450,Medium,High,-35.0497,-58.4278,Sun
2024,November,05,spring,11:00,21.7,68,49.64,72,9,475,High,High,-35.0497,-58.4278,Sun
2024,November,05,spring,12:00,22.6,66,49.66,75,9,490,High,High,-35.0497,-58.4278,Sun
2024,November,05,spring,13:00,23.1,64,49.68,74,9,500,High,High,-35.0497,-58.4278,Sun
2024,November,05,spring,14:00,22.8,65,49.70,73,9,495,High,High,-35.0497,-58.4278,Sun
2024,November,05,spring,15:00,22.1,67,49.71,70,8,480,High,Medium,-35.0497,-58.4278,Sun
2024,November,05,spring,16:00,20.6,70,49.72,65,7,455,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,05,spring,17:00,18.8,74,49.73,58,6,430,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,05,spring,18:00,17.1,78,49.74,52,4,400,Medium,Low,-35.0497,-58.4278,Sun
2024,November,05,spring,19:00,15.6,81,49.75,48,3,380,Low,Low,-35.0497,-58.4278,Sun
2024,November,05,spring,20:00,14.8,83,49.76,45,2,370,Low,Low,-35.0497,-58.4278,Sun
2024,November,05,spring,21:00,14.4,84,49.76,43,1,365,Low,Low,-35.0497,-58.4278,Sun
2024,November,05,spring,22:00,14.2,85,49.77,42,1,360,Low,Low,-35.0497,-58.4278,Sun
2024,November,05,spring,23:00,14.1,86,49.77,41,1,355,Low,Low,-35.0497,-58.4278,Sun
2024,November,06,spring,00:00,13.9,87,49.78,41,1,350,Low,Low,-35.0497,-58.4278,Sun
2024,November,06,spring,01:00,13.5,88,49.78,40,1,345,Low,Low,-35.0497,-58.4278,Sun
2024,November,06,spring,02:00,13.0,89,49.79,40,1,340,Low,Low,-35.0497,-58.4278,Sun
2024,November,06,spring,03:00,12.5,90,49.79,40,1,335,Low,Low,-35.0497,-58.4278,Sun
2024,November,06,spring,04:00,12.0,91,49.80,40,1,330,Low,Low,-35.0497,-58.4278,Sun
2024,November,06,spring,05:00,11.5,92,49.80,41,1,325,Low,Low,-35.0497,-58.4278,Sun
2024,November,06,spring,06:00,12.3,90,49.81,43,2,335,Low,Low,-35.0497,-58.4278,Sun
2024,November,06,spring,07:00,13.7,87,49.82,48,3,350,Low,Medium,-35.0497,-58.4278,Sun
2024,November,06,spring,08:00,16.0,83,49.83,55,5,375,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,06,spring,09:00,18.3,78,49.85,62,7,405,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,06,spring,10:00,20.0,73,49.87,68,8,435,Medium,High,-35.0497,-58.4278,Sun
2024,November,06,spring,11:00,21.6,69,49.89,72,9,460,High,High,-35.0497,-58.4278,Sun
2024,November,06,spring,12:00,22.5,67,49.91,75,9,475,High,High,-35.0497,-58.4278,Sun
2024,November,06,spring,13:00,23.0,65,49.93,74,9,485,High,High,-35.0497,-58.4278,Sun
2024,November,06,spring,14:00,22.7,66,49.95,73,9,480,High,High,-35.0497,-58.4278,Sun
2024,November,06,spring,15:00,22.0,68,49.96,70,8,465,High,Medium,-35.0497,-58.4278,Sun
2024,November,06,spring,16:00,20.5,71,49.97,65,7,440,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,06,spring,17:00,18.7,75,49.98,58,6,415,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,06,spring,18:00,17.0,79,49.99,52,4,385,Medium,Low,-35.0497,-58.4278,Sun
2024,November,06,spring,19:00,15.5,82,50.00,48,3,365,Low,Low,-35.0497,-58.4278,Sun
2024,November,06,spring,20:00,14.7,84,50.01,45,2,355,Low,Low,-35.0497,-58.4278,Sun
2024,November,06,spring,21:00,14.3,85,50.01,43,1,350,Low,Low,-35.0497,-58.4278,Sun
2024,November,06,spring,22:00,14.1,86,50.02,42,1,345,Low,Low,-35.0497,-58.4278,Sun
2024,November,06,spring,23:00,14.0,87,50.02,41,1,340,Low,Low,-35.0497,-58.4278,Sun
2024,November,07,spring,00:00,13.8,88,50.03,41,1,335,Low,Low,-35.0497,-58.4278,Sun
2024,November,07,spring,01:00,13.4,89,50.03,40,1,330,Low,Low,-35.0497,-58.4278,Sun
2024,November,07,spring,02:00,12.9,90,50.04,40,1,325,Low,Low,-35.0497,-58.4278,Sun
2024,November,07,spring,03:00,12.4,91,50.04,40,1,320,Low,Low,-35.0497,-58.4278,Sun
2024,November,07,spring,04:00,11.9,92,50.05,40,1,315,Low,Low,-35.0497,-58.4278,Sun
2024,November,07,spring,05:00,11.4,93,50.05,41,1,310,Low,Low,-35.0497,-58.4278,Sun
2024,November,07,spring,06:00,12.2,91,50.06,43,2,320,Low,Low,-35.0497,-58.4278,Sun
2024,November,07,spring,07:00,13.6,88,50.07,48,3,335,Low,Medium,-35.0497,-58.4278,Sun
2024,November,07,spring,08:00,15.9,84,50.08,55,5,360,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,07,spring,09:00,18.2,79,50.10,62,7,390,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,07,spring,10:00,19.9,74,50.12,68,8,420,Medium,High,-35.0497,-58.4278,Sun
2024,November,07,spring,11:00,21.5,70,50.14,72,9,445,High,High,-35.0497,-58.4278,Sun
2024,November,07,spring,12:00,22.4,68,50.16,75,9,460,High,High,-35.0497,-58.4278,Sun
2024,November,07,spring,13:00,22.9,66,50.18,74,9,470,High,High,-35.0497,-58.4278,Sun
2024,November,07,spring,14:00,22.6,67,50.20,73,9,465,High,High,-35.0497,-58.4278,Sun
2024,November,07,spring,15:00,21.9,69,50.21,70,8,450,High,Medium,-35.0497,-58.4278,Sun
2024,November,07,spring,16:00,20.4,72,50.22,65,7,425,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,07,spring,17:00,18.6,76,50.23,58,6,400,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,07,spring,18:00,16.9,80,50.24,52,4,370,Medium,Low,-35.0497,-58.4278,Sun
2024,November,07,spring,19:00,15.4,83,50.25,48,3,350,Low,Low,-35.0497,-58.4278,Sun
2024,November,07,spring,20:00,14.6,85,50.26,45,2,340,Low,Low,-35.0497,-58.4278,Sun
2024,November,07,spring,21:00,14.2,86,50.26,43,1,335,Low,Low,-35.0497,-58.4278,Sun
2024,November,07,spring,22:00,14.0,87,50.27,42,1,330,Low,Low,-35.0497,-58.4278,Sun
2024,November,07,spring,23:00,13.9,88,50.27,41,1,325,Low,Low,-35.0497,-58.4278,Sun
2024,November,08,spring,00:00,13.7,89,50.28,41,1,320,Low,Low,-35.0497,-58.4278,Sun
2024,November,08,spring,01:00,13.3,90,50.28,40,1,315,Low,Low,-35.0497,-58.4278,Sun
2024,November,08,spring,02:00,12.8,91,50.29,40,1,310,Low,Low,-35.0497,-58.4278,Sun
2024,November,08,spring,03:00,12.3,92,50.29,40,1,305,Low,Low,-35.0497,-58.4278,Sun
2024,November,08,spring,04:00,11.8,93,50.30,40,1,300,Low,Low,-35.0497,-58.4278,Sun
2024,November,08,spring,05:00,11.3,94,50.30,41,1,295,Low,Low,-35.0497,-58.4278,Sun
2024,November,08,spring,06:00,12.1,92,50.31,43,2,305,Low,Low,-35.0497,-58.4278,Sun
2024,November,08,spring,07:00,13.5,89,50.32,48,3,320,Low,Medium,-35.0497,-58.4278,Sun
2024,November,08,spring,08:00,15.8,85,50.33,55,5,345,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,08,spring,09:00,18.1,80,50.35,62,7,375,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,08,spring,10:00,19.8,75,50.37,68,8,405,Medium,High,-35.0497,-58.4278,Sun
2024,November,08,spring,11:00,21.4,71,50.39,72,9,430,High,High,-35.0497,-58.4278,Sun
2024,November,08,spring,12:00,22.3,69,50.41,75,9,445,High,High,-35.0497,-58.4278,Sun
2024,November,08,spring,13:00,22.8,67,50.43,74,9,455,High,High,-35.0497,-58.4278,Sun
2024,November,08,spring,14:00,22.5,68,50.45,73,9,450,High,High,-35.0497,-58.4278,Sun
2024,November,08,spring,15:00,21.8,70,50.46,70,8,435,High,Medium,-35.0497,-58.4278,Sun
2024,November,08,spring,16:00,20.3,73,50.47,65,7,410,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,08,spring,17:00,18.5,77,50.48,58,6,385,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,08,spring,18:00,16.8,81,50.49,52,4,355,Medium,Low,-35.0497,-58.4278,Sun
2024,November,08,spring,19:00,15.3,84,50.50,48,3,335,Low,Low,-35.0497,-58.4278,Sun
2024,November,08,spring,20:00,14.5,86,50.51,45,2,325,Low,Low,-35.0497,-58.4278,Sun
2024,November,08,spring,21:00,14.1,87,50.51,43,1,320,Low,Low,-35.0497,-58.4278,Sun
2024,November,08,spring,22:00,13.9,88,50.52,42,1,315,Low,Low,-35.0497,-58.4278,Sun
2024,November,08,spring,23:00,13.8,89,50.52,41,1,310,Low,Low,-35.0497,-58.4278,Sun
2024,November,09,spring,00:00,13.6,90,50.53,41,1,305,Low,Low,-35.0497,-58.4278,Sun
2024,November,09,spring,01:00,13.2,91,50.53,40,1,300,Low,Low,-35.0497,-58.4278,Sun
2024,November,09,spring,02:00,12.7,92,50.54,40,1,295,Low,Low,-35.0497,-58.4278,Sun
2024,November,09,spring,03:00,12.2,93,50.54,40,1,290,Low,Low,-35.0497,-58.4278,Sun
2024,November,09,spring,04:00,11.7,94,50.55,40,1,285,Low,Low,-35.0497,-58.4278,Sun
2024,November,09,spring,05:00,11.2,95,50.55,41,1,280,Low,Low,-35.0497,-58.4278,Sun
2024,November,09,spring,06:00,12.0,93,50.56,43,2,290,Low,Low,-35.0497,-58.4278,Sun
2024,November,09,spring,07:00,13.4,90,50.57,48,3,305,Low,Medium,-35.0497,-58.4278,Sun
2024,November,09,spring,08:00,15.7,86,50.58,55,5,330,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,09,spring,09:00,18.0,81,50.60,62,7,360,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,09,spring,10:00,19.7,76,50.62,68,8,390,Medium,High,-35.0497,-58.4278,Sun
2024,November,09,spring,11:00,21.3,72,50.64,72,9,415,High,High,-35.0497,-58.4278,Sun
2024,November,09,spring,12:00,22.2,70,50.66,75,9,430,High,High,-35.0497,-58.4278,Sun
2024,November,09,spring,13:00,22.7,68,50.68,74,9,440,High,High,-35.0497,-58.4278,Sun
2024,November,09,spring,14:00,22.4,69,50.70,73,9,435,High,High,-35.0497,-58.4278,Sun
2024,November,09,spring,15:00,21.7,71,50.71,70,8,420,High,Medium,-35.0497,-58.4278,Sun
2024,November,09,spring,16:00,20.2,74,50.72,65,7,395,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,09,spring,17:00,18.4,78,50.73,58,6,370,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,09,spring,18:00,16.7,82,50.74,52,4,340,Medium,Low,-35.0497,-58.4278,Sun
2024,November,09,spring,19:00,15.2,85,50.75,48,3,320,Low,Low,-35.0497,-58.4278,Sun
2024,November,09,spring,20:00,14.4,87,50.76,45,2,310,Low,Low,-35.0497,-58.4278,Sun
2024,November,09,spring,21:00,14.0,88,50.76,43,1,305,Low,Low,-35.0497,-58.4278,Sun
2024,November,09,spring,22:00,13.8,89,50.77,42,1,300,Low,Low,-35.0497,-58.4278,Sun
2024,November,09,spring,23:00,13.7,90,50.77,41,1,295,Low,Low,-35.0497,-58.4278,Sun
2024,November,10,spring,00:00,13.5,91,50.78,41,1,290,Low,Low,-35.0497,-58.4278,Sun
2024,November,10,spring,01:00,13.1,92,50.78,40,1,285,Low,Low,-35.0497,-58.4278,Sun
2024,November,10,spring,02:00,12.6,93,50.79,40,1,280,Low,Low,-35.0497,-58.4278,Sun
2024,November,10,spring,03:00,12.1,94,50.79,40,1,275,Low,Low,-35.0497,-58.4278,Sun
2024,November,10,spring,04:00,11.6,95,50.80,40,1,270,Low,Low,-35.0497,-58.4278,Sun
2024,November,10,spring,05:00,11.1,96,50.80,41,1,265,Low,Low,-35.0497,-58.4278,Sun
2024,November,10,spring,06:00,11.9,94,50.81,43,2,275,Low,Low,-35.0497,-58.4278,Sun
2024,November,10,spring,07:00,13.3,91,50.82,48,3,290,Low,Medium,-35.0497,-58.4278,Sun
2024,November,10,spring,08:00,15.6,87,50.83,55,5,315,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,10,spring,09:00,17.9,82,50.85,62,7,345,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,10,spring,10:00,19.6,77,50.87,68,8,375,Medium,High,-35.0497,-58.4278,Sun
2024,November,10,spring,11:00,21.2,73,50.89,72,9,400,High,High,-35.0497,-58.4278,Sun
2024,November,10,spring,12:00,22.1,71,50.91,75,9,415,High,High,-35.0497,-58.4278,Sun
2024,November,10,spring,13:00,22.6,69,50.93,74,9,425,High,High,-35.0497,-58.4278,Sun
2024,November,10,spring,14:00,22.3,70,50.95,73,9,420,High,High,-35.0497,-58.4278,Sun
2024,November,10,spring,15:00,21.6,72,50.96,70,8,405,High,Medium,-35.0497,-58.4278,Sun
2024,November,10,spring,16:00,20.1,75,50.97,65,7,380,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,10,spring,17:00,18.3,79,50.98,58,6,355,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,10,spring,18:00,16.6,83,50.99,52,4,325,Medium,Low,-35.0497,-58.4278,Sun
2024,November,10,spring,19:00,15.1,86,51.00,48,3,305,Low,Low,-35.0497,-58.4278,Sun
2024,November,10,spring,20:00,14.3,88,51.01,45,2,295,Low,Low,-35.0497,-58.4278,Sun
2024,November,10,spring,21:00,13.9,89,51.01,43,1,290,Low,Low,-35.0497,-58.4278,Sun
2024,November,10,spring,22:00,13.7,90,51.02,42,1,285,Low,Low,-35.0497,-58.4278,Sun
2024,November,10,spring,23:00,13.6,91,51.02,41,1,280,Low,Low,-35.0497,-58.4278,Sun
2024,November,11,spring,00:00,13.4,92,51.03,41,1,275,Low,Low,-35.0497,-58.4278,Sun
2024,November,11,spring,01:00,13.0,93,51.03,40,1,270,Low,Low,-35.0497,-58.4278,Sun
2024,November,11,spring,02:00,12.5,94,51.04,40,1,265,Low,Low,-35.0497,-58.4278,Sun
2024,November,11,spring,03:00,12.0,95,51.04,40,1,260,Low,Low,-35.0497,-58.4278,Sun
2024,November,11,spring,04:00,11.5,96,51.05,40,1,255,Low,Low,-35.0497,-58.4278,Sun
2024,November,11,spring,05:00,11.0,97,51.05,41,1,250,Low,Low,-35.0497,-58.4278,Sun
2024,November,11,spring,06:00,11.8,95,51.06,43,2,260,Low,Low,-35.0497,-58.4278,Sun
2024,November,11,spring,07:00,13.2,92,51.07,48,3,275,Low,Medium,-35.0497,-58.4278,Sun
2024,November,11,spring,08:00,15.5,88,51.08,55,5,300,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,11,spring,09:00,17.8,83,51.10,62,7,330,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,11,spring,10:00,19.5,78,51.12,68,8,360,Medium,High,-35.0497,-58.4278,Sun
2024,November,11,spring,11:00,21.1,74,51.14,72,9,385,High,High,-35.0497,-58.4278,Sun
2024,November,11,spring,12:00,22.0,72,51.16,75,9,400,High,High,-35.0497,-58.4278,Sun
2024,November,11,spring,13:00,22.5,70,51.18,74,9,410,High,High,-35.0497,-58.4278,Sun
2024,November,11,spring,14:00,22.2,71,51.20,73,9,405,High,High,-35.0497,-58.4278,Sun
2024,November,11,spring,15:00,21.5,73,51.21,70,8,390,High,Medium,-35.0497,-58.4278,Sun
2024,November,11,spring,16:00,20.0,76,51.22,65,7,365,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,11,spring,17:00,18.2,80,51.23,58,6,340,Medium,Medium,-35.0497,-58.4278,Sun
2024,November,11,spring,18:00,16.5,84,51.24,52,4,310,Medium,Low,-35.0497,-58.4278,Sun
2024,November,11,spring,19:00,15.0,87,51.25,48,3,290,Low,Low,-35.0497,-58.4278,Sun
2024,November,11,spring,20:00,14.2,89,51.26,45,2,280,Low,Low,-35.0497,-58.4278,Sun
2024,November,11,spring,21:00,13.8,90,51.26,43,1,275,Low,Low,-35.0497,-58.4278,Sun
2024,November,11,spring,22:00,13.6,91,51.27,42,1,270,Low,Low,-35.0497,-58.4278,Sun
2024,November,11,spring,23:00,13.5,92,51.27,41,1,265,Low,Low,-35.0497,-58.4278,Sun
